test_distance,sample_num,detected,x_tag,y_tag,z_tag,altitude,battery
1.0,33,1,0.10525738692386413,-0.18619165690153158,0.8748775357724967,0.8,59
1.0,34,1,0.10017045105382956,-0.18609393832804824,0.8728598197266483,0.8,59
1.0,35,1,0.09577428824103726,-0.1860383514101216,0.871875865389654,0.8,59
1.0,36,1,0.0908702664122553,-0.18533294550777935,0.8698029100710181,0.8,59
1.0,37,1,0.08562946383907556,-0.1836857202412263,0.8678871993329161,0.8,59
1.0,38,1,0.07956774425702082,-0.18193781096039205,0.8668545132444587,0.8,59
1.0,39,1,0.07696570681732978,-0.1809239441504118,0.8652085397991935,0.8,59
1.0,40,1,0.07332019535205261,-0.18013429332678788,0.8630286384517597,0.8,59
1.0,41,1,0.0717130410325323,-0.17989978071916463,0.8610180894787678,0.8,59
1.0,42,1,0.07074864518668812,-0.17973044541091898,0.8572350276759084,0.8,59
1.0,43,1,0.070137138459006,-0.1797169085432423,0.8515897841106579,0.8,59
1.0,44,1,0.0694223529923662,-0.17846169400065864,0.8481211064778825,0.8,59
1.0,45,1,0.06820030545051461,-0.1773423444382016,0.844740217777217,0.8,59
1.0,46,1,0.06583120980634945,-0.17646319139272182,0.8425593273219266,0.8,58
1.0,47,1,0.060775363220110984,-0.17541098567425462,0.8396016136500503,0.8,58
1.0,48,1,0.056560396042607555,-0.17538850913635398,0.837503074230778,0.8,58
1.0,49,1,0.052769687339701506,-0.17632360674953101,0.8377990383607138,0.8,58
1.0,50,1,0.047688231097537274,-0.17767909456053316,0.8378697056918653,0.8,58
1.0,51,1,0.04437831296262767,-0.17868855955868806,0.8371594105304623,0.8,58
1.0,52,1,0.04237437739946448,-0.17893233282097729,0.8382448642918044,0.79,58
1.0,53,1,0.04120909820905385,-0.17822026575049463,0.8376172716355007,0.79,58
1.0,54,1,0.0403327923895932,-0.1777514777540696,0.838228957570676,0.79,58
1.0,55,1,0.03958602653296798,-0.17753546003269147,0.8401665166709148,0.79,58
1.0,56,1,0.03857087726117783,-0.17716174261531123,0.8429308139543161,0.8,58
1.0,57,1,0.03766404597244891,-0.1769276348795751,0.8452426343444746,0.8,58
1.0,58,1,0.035498164455241364,-0.1758346623153576,0.8465930162980022,0.8,58
1.0,59,1,0.03299059317297813,-0.17469574925305495,0.8472713333881098,0.8,58
1.0,60,1,0.030323150277590756,-0.174139244914454,0.8486703160204119,0.8,58
1.0,61,1,0.027007165152458795,-0.1730542356848408,0.8500722460976613,0.8,58
1.0,62,1,0.023274064564935425,-0.17181616130052016,0.8540467777910644,0.8,58
1.0,63,1,0.017811133530178935,-0.17043683608021476,0.8584271256328808,0.8,58
1.0,64,1,0.013894657245174706,-0.16916120655107778,0.8602917595909543,0.8,58
1.0,65,1,0.010618199093763176,-0.16621843993497448,0.8650958370609287,0.81,58
1.0,66,1,0.009566213582247077,-0.16232525481021437,0.8654375633360771,0.81,58
1.0,67,1,0.008515281382336443,-0.1566386723292737,0.8663313966995773,0.82,58
1.0,68,1,0.007993772547032952,-0.153866324983225,0.8673585251514006,0.82,58
1.0,69,1,0.006905243607514822,-0.14816328546503083,0.8668728372474976,0.82,58
1.0,70,1,0.005271265626874518,-0.14251930827288406,0.8659703971636198,0.82,58
1.0,71,1,0.0036512714316192887,-0.13921092186523223,0.8648749127505078,0.82,58
1.0,72,1,0.001393874842238911,-0.1369902528361387,0.8635702910915524,0.83,58
1.0,73,1,-0.0028488102379529085,-0.1359666358521483,0.8632085053158184,0.83,58
1.0,74,1,-0.0064625435760578545,-0.13549563060425268,0.8617111678232684,0.83,58
1.0,75,1,-0.009877906270108539,-0.13491196703862232,0.8630212743438546,0.83,57
1.0,76,1,-0.01347009900062853,-0.13447310993213069,0.8621787306840226,0.83,57
1.0,77,1,-0.01693196658992519,-0.13560350800788498,0.8616390456838453,0.83,57
1.0,78,1,-0.020296368580935364,-0.13637011626533735,0.8649350359194309,0.83,57
1.0,79,1,-0.023472404474878507,-0.1364300247175161,0.8707620788783109,0.84,57
1.0,80,1,-0.027879418327532823,-0.13787159698275714,0.8755033210733242,0.83,57
1.0,81,1,-0.0331076667991883,-0.14179495309774004,0.8800321427519581,0.83,57
1.0,82,1,-0.040701745354805606,-0.14963106934088444,0.8838051591669019,0.83,57
1.0,83,1,-0.04651726511574714,-0.15888456112217586,0.8844974205848373,0.82,57
1.0,84,1,-0.05251191459092068,-0.1685991276755552,0.8825823866786818,0.81,57
1.0,85,1,-0.058887165561270834,-0.1816295787569797,0.8803001219832302,0.8,57
1.0,86,1,-0.06161472104447567,-0.19305672477056537,0.8777345126728214,0.79,57
1.0,87,1,-0.06211661030244933,-0.20341084136528614,0.8735308749624505,0.78,57
1.0,88,1,-0.060352058350408244,-0.212948934061958,0.8666172696610831,0.77,57
1.0,89,1,-0.056520223258808754,-0.22117505589730074,0.8591740017493105,0.76,57
1.0,90,1,-0.04999492269369394,-0.23059574681121006,0.8501077540833364,0.76,57
1.0,91,1,-0.046167024875532134,-0.23697094174197436,0.8434973210380066,0.75,57
1.0,92,1,-0.04340931395134554,-0.24241298673134437,0.8372490275907132,0.75,57
1.0,93,1,-0.041649517968513045,-0.2466517619596175,0.8299298037610707,0.74,57
1.0,94,1,-0.042312546762815095,-0.24761621687133487,0.8268992726153201,0.74,57
1.0,95,1,-0.043520265656643624,-0.24706172421402386,0.8257286016075577,0.74,57
